draft	ordinal	title	authority	parameter	lever	baseline	proposed	note	baseline_source
hb-96-with-refreshed-inputs	1	Base cost reference year: FY2022 to FY2024	R.C. 3317.011	base-cost-per-pupil	base-cost	1.0	1.0395	The uniform scale sized to the department's own $465.0M computed increase for a classroom-teacher refresh to FY2024.	statute:fiscal year 2022 data, as determined by the department
fund-the-plan-and-retire-the-guarantee	1	Base cost reference year: FY2022 to FY2024	R.C. 3317.011	base-cost-per-pupil	base-cost	1.0	1.0395	Same provision as the H.B. 96 counterfactual, so the two drafts share a lever value and differ in what surrounds it.	statute:fiscal year 2022 data, as determined by the department
fund-the-plan-and-retire-the-guarantee	2	Temporary transitional aid guarantee: half retired	uncodified	guarantee-funding-base	guarantee	as-enacted	phase-out:0.5	Closes half the gap between the FY2020 baseline and the formula amount. Interacts with provision 1: a higher formula amount lifts districts off the floor before the floor is lowered.	uncodified:The guarantee is temporary law, carried in the uncodified sections of H.B. 33 and H.B. 96 rather than in a Revised Code section, so no committed statutory text states it.
fund-the-plan-and-retire-the-guarantee	3	Special education category weights raised 8 percent	R.C. 3317.014			six categories at enacted weights	each weight times 1.08	No lever expresses a categorical weight. Adding one costs a field on Policy, a checkpoint in bundle, and a mirrored implementation in web/src/lib/policy.ts, or verify.ts refuses to render the scenario page.	statute:multiple of 0.6230
fund-the-plan-and-retire-the-guarantee	4	Transportation reimbursement floor raised to 37.5 percent	R.C. 3317.0212	transportation-cost-rates	transport-floor	0.5	0.375	Levered against project::transport::floor. The draft was written against 29.17 percent; H.B. 96 raised the floor to 50 percent after, which inverts the provision's sign — read against FY2027 law this is a reduction of 12.5 points rather than a rise. The floor is worth $289.6M statewide and its incidence runs up the wealth distribution, so a cut falls hardest on the districts with the highest local capacity.	statute:fifty per cent or the district's state share percentage
fund-the-plan-and-retire-the-guarantee	5	Resident district held harmless for scholarship deductions	R.C. 3310.41			deducted from the resident district	held harmless	Outside the model. The deduct channel needs the per-agency participation series the deduction calculator was declared for and never got.	superseded:as that division existed prior to September 30, 2021
fund-the-plan-and-retire-the-guarantee	6	Formula transition supplement repealed alongside the guarantee	uncodified	guarantee-funding-base	backstop	as-enacted	repealed	Provision 2 retires half the guarantee and Section 265.225 would make 90.9 percent of that good, because the guarantee is a term in the supplement's own subtrahend. A draft that retires the guarantee without this provision is a net spend rather than a cut. Stated as its own provision so the choice is visible rather than implied by silence.	uncodified:The formula transition supplement is temporary law, carried in the uncodified Section 265.225 of H.B. 110 and extended to FY2026 and FY2027 by H.B. 96 in the same clause that extends the guarantee it backstops, so no committed statutory text states it.
hb-643-136-introduced	1	EdChoice expansion eligibility capped at $500,000 federal AGI	R.C. 3310.032			no income ceiling	families at or above $500,000 ineligible from 2026-2027, indexed to CPI	Outside the model. The scholarship channel is not carried at all: the 609 districts here are the traditional districts in the department's own calculator, and a change to who may receive a voucher moves nothing any lever reaches.	statute:if the student's resident district is not a school district in which the pilot project scholarship program is operating
hb-96-136-as-introduced	1	Phase-in percentages: 83.33 percent then 100 percent	uncodified	fsfp-phase-in-percentage		66.67 percent, FY2025	83.33 percent FY2026, 100 percent FY2027	Section 265.220 of the introduced bill, word-for-word what was enacted. The phase-in lever expresses it and this repository's baseline is the enacted act, so a run would return an identity; left unlevered so the draft reports no figure rather than $0.0M. See the node's unpriced.	uncodified:The phase-in percentages are set in an uncodified section of each budget act - Section 265.220 here - rather than in a Revised Code section, so no committed statutory text states them.
hb-96-136-as-introduced	2	Base cost reference year held at FY2022	R.C. 3317.011	base-cost-per-pupil		FY2022 data	FY2022 data, with the section's applicable years extended to 2027	A freeze written as the absence of an amendment: the salary definitions carry "using fiscal year 2022 data" unstruck while the years the section governs are amended from 2025 to 2027. An identity against current law, and unlevered for the same reason as provision 1.	statute:fiscal year 2022 data, as determined by the department
hb-96-136-as-passed-house	1	Phase-in percentages: 83.33 percent then 100 percent	uncodified	fsfp-phase-in-percentage		66.67 percent, FY2025	83.33 percent FY2026, 100 percent FY2027	Identical to the introduced stage and to the act - and inoperative, because provision 2 forbids payment under the statute these percentages govern. Unlevered: the value is current law's and the parameter is not read at all under this stage.	uncodified:The phase-in percentages are set in an uncodified section of each budget act - Section 265.220 here - rather than in a Revised Code section, so no committed statutory text states them.
hb-96-136-as-passed-house	2	Formula payments suspended for FY2026 and FY2027	uncodified			paid under R.C. 3317.019, 3317.022 and 3317.0212	no payments under those sections	Section 265.235(B). Binds no parameter: there is no value to move, only a statute switched off. R.C. 3317.022 is the phase-in interpolation, so this is what makes provision 1 a dead letter.	uncodified:Section 265.235 is temporary law in the House-passed substitute and was not enacted, so it appears in no committed statutory text.
hb-96-136-as-passed-house	3	Temporary foundation funding: FY2025 aid plus half the distance	uncodified	guarantee-funding-base		FY2020 funding base plus the phase-in fraction of the distance	FY2025 state foundation funding plus 0.50 of the distance to the computed amount, floored at zero	Section 265.235(C)-(D). The same interpolation R.C. 3317.022 performs, from a different base: FY2025 actual aid rather than the FY2020 funding base. That base is not a lever position and is not in DistrictRecord, which is why the whole stage is unpriceable here.	uncodified:Section 265.235 is temporary law in the House-passed substitute and was not enacted, so it appears in no committed statutory text.
hb-96-136-as-passed-house	4	Enrollment growth supplement, banded by growth rate	uncodified	enrolment-supplement-amounts		no enrollment growth supplement in FY2025	nothing below 3 percent growth, then $150/$100/$50 per enrolled pupil in FY2026 and $200/$150/$100 in FY2027	Section 265.235(E). The rate falls as growth rises, so a district growing 11 percent receives a third of the per-pupil rate of one growing 4 percent. No lever expresses a banded per-pupil grant.	uncodified:Section 265.235 is temporary law in the House-passed substitute and was not enacted, so it appears in no committed statutory text.
hb-96-136-as-passed-house	5	Base funding supplement, $20 then $30 a pupil	uncodified			no base funding supplement in FY2025	$20 per enrolled pupil in FY2026, $30 in FY2027	Section 265.235(F), to every traditional district, JVSD, community and STEM school. Priceable arithmetic with no lever to carry it.	uncodified:Section 265.235 is temporary law in the House-passed substitute and was not enacted, so it appears in no committed statutory text.
hb-96-136-as-passed-house	6	Statewide average base cost per pupil held at FY2024	uncodified	base-cost-per-pupil		FY2024 statewide average base cost per pupil	FY2024 statewide average base cost per pupil	Section 265.235(G)(2), for the categorical sections that multiply the statewide average. The enacted act does the same thing, so this is the one provision of this stage that survived into law - and an identity against current law.	uncodified:Section 265.235 is temporary law in the House-passed substitute and was not enacted, so it appears in no committed statutory text.
